61710,80,7
50051,53,2
64172,443,5
53,1501,1
59260,443,19
59258,443,23
17706,53,1
17705,53,1
59256,443,27
443,46852,15
443,53705,6
53,14766,1
443,61605,5
17693,53,1
53,49149,1
50017,53,2
50012,53,2
50006,53,2
64124,443,10
64112,443,6
49274,443,4
64084,443,6
49959,53,2
17617,53,1
17608,53,1
49943,53,2
443,61923,6
49922,53,2
53,49467,2
17581,53,1
49919,53,2
64039,443,6
17562,53,1
49901,53,2
17554,53,1
61536,80,2
49879,53,2
36740,443,19
80,61416,4
80,61928,1
49818,53,2
36728,443,10
36726,443,12
63936,443,5
17462,53,1
17456,53,1
443,55937,3
80,61522,6
36690,443,15
36688,443,16
36686,443,22
36684,443,12
17431,53,1
63887,443,5
63876,443,5
49737,53,2
17395,53,1
36634,443,13
36632,443,14
17373,53,1
36600,443,15
53,65444,1
63802,443,5
53,39597,1
49670,53,2
443,62724,6
63764,443,5
49640,53,2
80,61946,5
49637,53,2
49626,53,2
49621,53,2
443,38318,7
80,62052,5
17245,53,1
63705,443,5
53,51938,2
53,54591,2
17217,53,1
443,49976,13
17208,53,1
49547,53,2
63663,443,6
443,57410,19
443,50292,38
443,38530,6
53,5638,1
49518,53,2
63611,443,14
443,62060,10
49472,53,2
49469,53,2
53,29621,1
443,50784,2
443,62131,14
17117,53,1
17111,53,1
53,21768,1
53,60880,1
63540,443,6
53,60321,2
36324,443,14
36322,443,24
53,13915,1
17063,53,1
17058,53,1
443,61647,106
49389,53,2
49370,53,2
443,44558,21
63470,443,6
49336,53,2
53,14127,1
53,16780,1
49331,53,2
49330,53,2
443,39166,7
443,44770,31
443,39272,7
36186,443,19
36184,443,13
443,51314,4
36182,443,21
63384,443,5
63378,443,6
53,37551,2
53,56681,1
36158,443,20
443,39378,7
16898,53,1
63358,443,5
63350,443,6
80,61973,5
49213,53,2
443,39484,7
443,46430,22
443,61449,6
49182,53,2
443,39590,6
53,64275,1
443,56952,8
16780,53,1
443,62090,1
443,48882,49
63203,443,6
443,61767,10
63177,443,5
16680,53,1
35924,443,15
35922,443,10
16671,53,1
44142,443,14
49004,53,2
53,32987,2
53,15081,1
35906,443,111
63110,443,6
443,62112,11
443,51414,6
48973,53,2
63093,443,6
35880,443,402
16630,53,1
35878,443,27
16606,53,1
16604,53,1
443,60636,29
53,56393,2
443,61599,3
16591,53,1
53,43811,2
48914,53,2
16572,53,1
63025,443,6
16561,53,1
48877,53,2
53,41929,1
16513,53,1
53,18158,1
51230,443,24
443,49244,8
62942,443,6
443,62509,15
80,61731,5
53,44794,1
16403,53,1
51126,443,25
16384,53,1
53,34394,1
443,59011,5
80,61943,5
16359,53,1
443,49609,7
53,57135,2
16341,53,1
48678,53,2
49792,443,27
53,42459,1
443,57813,7
53,53071,1
53,46629,2
48652,53,2
16303,53,1
53,55830,1
48621,53,2
53,60559,1
53,34712,1
443,55186,4
48597,53,2
48596,53,2
16245,53,1
53,44765,2
53,29512,1
16237,53,1
53,11047,1
16218,53,1
16204,53,1
48542,53,2
48515,53,2
443,49802,9
48480,53,2
53,42430,2
443,52020,10
62578,443,5
53,48401,1
53,16671,1
443,51714,38
53,59013,1
48429,53,2
16076,53,1
48415,53,2
48385,53,2
3722,3722,1
443,61234,9
15997,53,1
48323,53,2
62429,443,6
443,55975,5
15966,53,1
48304,53,2
15964,53,1
62419,443,5
48292,53,2
443,53306,7
443,50775,5
443,53428,5
15921,53,1
62353,443,5
32992,443,22
15884,53,1
53,43172,2
53,61725,1
48209,53,2
443,46846,32
53,53313,2
15812,53,1
48144,53,2
15798,53,1
62255,443,6
53,33437,1
53,56072,2
15773,53,1
48111,53,2
62225,443,6
48067,53,2
15724,53,1
15715,53,1
48054,53,2
62141,443,5
53,7331,1
47982,53,2
47965,53,2
15615,53,1
47953,53,2
15605,53,1
15602,53,1
53,18155,1
61539,443,185
53,46096,2
47902,53,2
47896,53,2
53,55297,1
61996,443,6
47864,53,2
53,18367,1
61958,443,5
443,52106,7
15490,53,1
15482,53,1
15478,53,1
443,38206,7
61923,443,6
47801,53,2
80,61940,9
53,23885,1
443,38312,7
62065,443,2
53,55721,1
443,38418,7
47728,53,2
47713,53,2
443,38972,16
443,52982,6
443,38524,7
15341,53,1
443,51888,6
47667,53,2
61785,443,6
15319,53,1
47646,53,2
15294,53,1
61751,443,5
55586,443,19
47618,53,2
15277,53,1
47615,53,2
15272,53,1
61727,443,5
15243,53,1
47569,53,2
53,42986,1
61686,443,5
61682,443,5
47560,53,2
53,56251,1
443,44446,121
15183,53,1
15166,53,1
61605,443,5
15137,53,1
443,61470,22
61583,443,6
443,61724,16
61573,443,5
443,47570,19
15110,53,1
53,27492,1
443,39266,6
15081,53,1
53,55539,2
47392,53,2
61494,443,6
443,39478,7
443,46424,23
64459,443,6
443,58464,19
53,30463,1
47325,53,1
443,39584,7
