192.168.3.1,192.168.3.59,8030
172.217.22.174,192.168.3.5,59620
fe80::aa5a:e0ff:fee8:b0fa,fe80::106c:31c9:ec9:6333,2688
fe80::106c:31c9:ec9:6333,fe80::aa5a:e0ff:fee8:b0fa,3024
192.168.3.5,172.217.21.174,74361
162.62.97.64,192.168.3.5,13230
162.62.97.64,192.168.3.5,11949
fe80::aa5a:e0ff:fee8:b0fa,fe80::106c:31c9:ec9:6333,4636
fe80::106c:31c9:ec9:6333,fe80::aa5a:e0ff:fee8:b0fa,5282
fe80::106c:31c9:ec9:6333,fe80::aa5a:e0ff:fee8:b0fa,2584
192.168.3.7,192.168.3.255,4351
192.168.3.5,172.217.21.174,67298
192.168.3.1,192.168.3.59,7619
192.168.3.1,192.168.3.5,6175
fe80::c29:281b:57a4:f537,ff02::1:3,1458
216.58.207.196,192.168.3.59,54090
192.168.3.5,216.58.211.3,36846
172.217.22.174,192.168.3.5,38322
fe80::aa5a:e0ff:fee8:b0fa,fe80::106c:31c9:ec9:6333,2448
fe80::aa5a:e0ff:fee8:b0fa,fe80::106c:31c9:ec9:6333,18683
fe80::106c:31c9:ec9:6333,fe80::aa5a:e0ff:fee8:b0fa,3400
fe80::106c:31c9:ec9:6333,fe80::aa5a:e0ff:fee8:b0fa,2686
192.168.3.5,172.217.21.174,60486
192.168.3.5,162.62.97.64,17731
192.168.3.14,192.168.3.255,3893
192.168.3.1,192.168.3.59,6613
192.168.3.1,192.168.3.5,6086
192.168.3.1,192.168.3.5,5729
172.217.21.174,192.168.3.5,40562
103.235.47.110,192.168.3.59,19941
fe80::aa5a:e0ff:fee8:b0fa,ff02::1:ffa9:92a8,4608
fe80::aa5a:e0ff:fee8:b0fa,fe80::106c:31c9:ec9:6333,1376
fe80::aa5a:e0ff:fee8:b0fa,fe80::106c:31c9:ec9:6333,3520
fe80::aa5a:e0ff:fee8:b0fa,fe80::106c:31c9:ec9:6333,1680
fe80::5c:9bce:309:e981,ff02::1:3,1296
